From Date,To Date,PM2.5,PM10,NO2,SO2,CO,Temp
01-01-2016 00:00,02-01-2016 00:00,104.05,131.63,69.91,41.12,2.78,23.26
02-01-2016 00:00,03-01-2016 00:00,75.84,104.38,47.84,28.14,1.73,23.95
03-01-2016 00:00,04-01-2016 00:00,78.44,111.12,32.53,19.14,2.15,23.52
04-01-2016 00:00,05-01-2016 00:00,110.34,166.9,26.1,15.35,2.91,22.64
05-01-2016 00:00,06-01-2016 00:00,117.52,168.11,24.88,14.63,3.06,22.72
06-01-2016 00:00,07-01-2016 00:00,115.73,178.08,25.6,15.06,3.08,23.07
07-01-2016 00:00,08-01-2016 00:00,131.56,184.68,24.9,14.65,4.01,23.23
08-01-2016 00:00,09-01-2016 00:00,143.32,190.82,24.6,14.47,3.89,23.15
09-01-2016 00:00,10-01-2016 00:00,106.45,178.49,25.43,14.96,2.43,22.91
10-01-2016 00:00,11-01-2016 00:00,103.15,163.97,25.38,14.93,2.35,22.68
11-01-2016 00:00,12-01-2016 00:00,104.61,148.28,25.74,15.14,2.69,22.7
12-01-2016 00:00,13-01-2016 00:00,76.4,122.83,26.64,15.67,1.8,23.02
13-01-2016 00:00,14-01-2016 00:00,86.61,131.95,26.76,15.74,1.61,22.98
14-01-2016 00:00,15-01-2016 00:00,88.65,147.11,26.46,15.57,1.36,22.73
15-01-2016 00:00,16-01-2016 00:00,90.95,129.39,28.76,16.92,1.12,22.21
16-01-2016 00:00,17-01-2016 00:00,67.75,164.46,30.31,17.83,1.06,22.99
17-01-2016 00:00,18-01-2016 00:00,49.97,65.96,32.16,18.91,0.92,21.37
18-01-2016 00:00,19-01-2016 00:00,52.39,66.85,27.02,15.9,1.03,21.24
19-01-2016 00:00,20-01-2016 00:00,63.78,87.63,25.1,14.77,1.36,20.56
20-01-2016 00:00,21-01-2016 00:00,91.12,115.88,24.61,14.48,2.44,20.62
21-01-2016 00:00,22-01-2016 00:00,113.04,141.63,23.9,14.06,2.9,19.84
22-01-2016 00:00,23-01-2016 00:00,126.61,159.77,23.62,13.9,3.79,20.53
23-01-2016 00:00,24-01-2016 00:00,154.33,193.95,23.77,13.98,4.11,21.58
24-01-2016 00:00,25-01-2016 00:00,112.76,144.9,24.15,14.21,2.17,23.32
25-01-2016 00:00,26-01-2016 00:00,76.84,104.03,24.81,14.6,1.6,23.82
26-01-2016 00:00,27-01-2016 00:00,55.69,83.09,25.93,15.25,1.27,24.03
27-01-2016 00:00,28-01-2016 00:00,78.87,115.85,26.47,15.57,1.86,23.85
28-01-2016 00:00,29-01-2016 00:00,108.23,141.49,25.48,14.99,3.5,24.72
29-01-2016 00:00,30-01-2016 00:00,120.92,141.69,25.07,14.75,2.95,24.69
30-01-2016 00:00,31-01-2016 00:00,103.52,142.55,24.53,14.43,3.27,25.36
31-01-2016 00:00,01-02-2016 00:00,121.35,151.48,25.69,15.11,2.36,26.41
01-02-2016 00:00,02-02-2016 00:00,112.25,144.9,25.48,14.99,2.35,26.11
02-02-2016 00:00,03-02-2016 00:00,92.7,141.25,25.43,14.96,2.05,26.14
03-02-2016 00:00,04-02-2016 00:00,86.29,123.39,25.39,14.93,2.41,25.26
04-02-2016 00:00,05-02-2016 00:00,92.01,125.21,28.11,16.53,2.54,24.03
05-02-2016 00:00,06-02-2016 00:00,99.69,149.66,35.38,20.81,1.85,24.64
06-02-2016 00:00,07-02-2016 00:00,62.33,119.12,35.51,20.89,1.45,23.68
07-02-2016 00:00,08-02-2016 00:00,53.64,85.04,32.28,18.99,1.45,23.58
08-02-2016 00:00,09-02-2016 00:00,99.23,120.42,31.42,18.48,3.13,24.19
09-02-2016 00:00,10-02-2016 00:00,99.88,126.27,28.16,16.56,2.12,26.07
10-02-2016 00:00,11-02-2016 00:00,79.47,106.27,33.21,19.53,1.44,25.61
11-02-2016 00:00,12-02-2016 00:00,61.7,97.19,34.77,20.46,1.34,24.6
